customer_id,full_name,age,gender,email,marital_status,number_of_dependents,employment_status,annual_income,occupation,education_level,residential_status,credit_score,total_assets,total_liabilities,primary_bank,number_of_bank_accounts,number_of_credit_cards,loan_history,investment_portfolio,categories_of_spending,average_monthly_spending,emi_payments,email_engagement,social_media_engagement,website_visits,product_page_visits,ad_clicks,preferred_investment_type,risk_appetite,short-term_goals,long-term_goals,conversion_rate,preferred_communication_channel,churn_risk,previous_offers_shown
18,Cornela Maryman,40,Female,cmarymanh@gmpg.org,Widowed,5,Student,253328,Graphic Designer,Master,Renter,559,957324,220515,National Bank,5,4,Bad,None,Groceries,14458,3539,Ignored,Clicked,29,19,0,Crypto,Medium,Wedding,Education,86,Email,High,Credit Card
19,Dasha Honnan,27,Female,dhonnani@google.com.au,Married,5,Self-employed,112947,Software Engineer,Bachelor,Owner,844,1162326,264355,Community Bank,3,1,Good,None,Luxury,3559,2059,Clicked,Opened,31,4,8,Crypto,Low,Travel,Retirement,9,WhatsApp,Medium,Loan
20,Cesya Jenyns,46,Female,cjenynsj@usgs.gov,Single,2,Employed,230126,Sales Associate,Bachelor,Renter,639,993406,376508,City Bank,3,0,Bad,Stocks,Luxury,10870,3868,Clicked,Ignored,18,12,8,Real Estate,High,Wedding,Retirement,37,WhatsApp,Medium,Insurance
21,Charlotte Ebdon,31,Female,cebdonk@house.gov,Married,5,Self-employed,353276,Sales Associate,Bachelor,Renter,707,262445,340276,BNY,5,6,Bad,None,Dining,3402,2024,Opened,Clicked,14,17,2,Real Estate,Low,Gadgets,Property,49,SMS,Medium,Loan
22,Lennie Kose,49,Male,lkosel@tamu.edu,Divorced,3,Unemployed,70894,Human Resources Specialist,PhD,Renter,509,1234462,138676,Community Bank,4,7,Bad,Crypto,Travel,2677,3374,Ignored,Ignored,2,19,0,Mutual Funds,Low,Wedding,Education,28,WhatsApp,High,Loan
23,Bentlee Mowbury,26,Male,bmowburym@phpbb.com,Widowed,2,Unemployed,480548,Human Resources Specialist,High School,Owner,390,564650,391918,BNY,1,3,No history,Crypto,Travel,12963,3501,Ignored,Clicked,20,6,4,Crypto,High,Travel,Property,84,WhatsApp,Medium,Loan
24,Konstantine Giabucci,45,Male,kgiabuccin@kickstarter.com,Single,0,Employed,34296,Human Resources Specialist,Bachelor,Renter,398,1322455,335677,National Bank,3,4,Good,Crypto,Travel,4907,1727,Clicked,Clicked,38,7,5,Crypto,High,Wedding,Property,11,SMS,Low,Loan
25,Zenia Gammill,43,Female,zgammillo@themeforest.net,Single,5,Employed,222834,Marketing Manager,Bachelor,Renter,515,583500,182582,First Bank,5,0,Bad,Bonds,Luxury,12082,2201,Clicked,Ignored,14,9,3,Crypto,Medium,Wedding,Retirement,6,WhatsApp,High,Insurance
26,Bernardina Timothy,50,Female,btimothyp@xing.com,Widowed,5,Self-employed,55621,Software Engineer,Bachelor,Owner,647,514896,53028,Peoples Bank,1,5,Bad,None,Travel,17868,2437,Ignored,Ignored,33,13,4,Real Estate,High,Wedding,Retirement,24,Email,High,Insurance
27,Toby Fairhead,37,Female,tfairheadq@google.ru,Single,0,Student,146611,Graphic Designer,Bachelor,Owner,742,254462,77731,City Bank,5,7,Good,Stocks,Groceries,18921,4809,Ignored,Opened,26,15,6,Stocks,Medium,Wedding,Property,7,WhatsApp,High,Insurance
28,Rania Dundin,50,Female,rdundinr@drupal.org,Divorced,3,Employed,338548,Sales Associate,Master,Renter,509,1049012,266721,Community Bank,3,8,No history,Real Estate,Dining,11070,3672,Clicked,Opened,30,9,5,Real Estate,Low,Gadgets,Retirement,3,WhatsApp,Medium,Insurance
29,Tiphany Rivilis,21,Female,triviliss@woothemes.com,Widowed,1,Student,156019,Software Engineer,PhD,Owner,364,178033,350710,First Bank,2,2,Good,Real Estate,Dining,20000,285,Clicked,Ignored,3,6,10,Real Estate,Medium,Wedding,Retirement,19,Email,Medium,Credit Card
30,Betteann Hansberry,27,Female,bhansberryt@tinyurl.com,Married,2,Self-employed,53511,Marketing Manager,High School,Renter,322,1056128,390878,WF,5,0,No history,None,Travel,10760,4543,Opened,Clicked,48,13,7,Crypto,Medium,Wedding,Education,99,Email,Medium,Insurance
31,Myrna Beaby,33,Female,mbeabyu@weibo.com,Widowed,2,Student,462400,Graphic Designer,Bachelor,Owner,550,1857501,354992,Community Bank,3,1,Good,Bonds,Dining,5477,3279,Clicked,Clicked,6,7,3,Mutual Funds,Low,Travel,Retirement,24,WhatsApp,Medium,Insurance
32,Ronna Lux,49,Female,rluxv@aol.com,Widowed,0,Employed,80051,Sales Associate,PhD,Owner,749,1012508,58711,National Bank,3,5,Bad,Stocks,Travel,3345,3495,Clicked,Opened,50,15,8,Crypto,Low,Travel,Education,48,Email,Medium,Credit Card
33,Joby Parkey,35,Female,jparkeyw@discovery.com,Divorced,3,Unemployed,253474,Graphic Designer,PhD,Owner,430,309196,475032,City Bank,3,8,Good,Stocks,Dining,8339,576,Clicked,Clicked,33,9,0,Mutual Funds,Medium,Travel,Retirement,34,SMS,Low,Credit Card
34,Darnall Kitley,31,Male,dkitleyx@biglobe.ne.jp,Married,2,Student,245748,Graphic Designer,Bachelor,Renter,359,608401,115595,Community Bank,5,7,Good,None,Groceries,3236,3131,Ignored,Opened,32,14,8,Mutual Funds,Low,Travel,Property,74,WhatsApp,Medium,Credit Card
35,Wynnie Klezmski,48,Female,wklezmskiy@angelfire.com,Divorced,0,Employed,283523,Human Resources Specialist,High School,Renter,836,1234766,377368,City Bank,5,3,No history,Real Estate,Dining,5937,4247,Clicked,Ignored,23,3,8,Real Estate,Medium,Gadgets,Retirement,82,SMS,Medium,Insurance
36,Leland Lampel,51,Male,llampelz@plala.or.jp,Single,3,Self-employed,482986,Marketing Manager,High School,Renter,775,1513998,468925,WF,3,10,No history,Stocks,Travel,12789,4154,Clicked,Clicked,30,17,2,Real Estate,High,Wedding,Property,86,WhatsApp,Low,Credit Card
37,Robbie Gaze,24,Male,rgaze10@github.io,Married,5,Employed,87400,Graphic Designer,PhD,Owner,664,1151779,335015,First Bank,4,8,Bad,Crypto,Travel,16443,4423,Ignored,Opened,6,16,0,Crypto,Medium,Gadgets,Property,46,SMS,Medium,Loan
38,Mateo Treske,40,Male,mtreske11@ustream.tv,Married,5,Retired,170884,Software Engineer,Master,Renter,715,1333853,136103,BNY,2,10,Good,Crypto,Travel,3577,2423,Ignored,Ignored,45,17,7,Crypto,Medium,Travel,Education,2,WhatsApp,Low,Credit Card
39,Colin Swigg,40,Male,cswigg12@seattletimes.com,Married,1,Employed,253015,Software Engineer,High School,Renter,403,342715,109350,BNY,5,3,Good,Real Estate,Travel,2672,1660,Clicked,Opened,47,5,5,Real Estate,High,Wedding,Property,20,SMS,Low,Credit Card
40,Alic Falconer,53,Male,afalconer13@google.ru,Married,2,Self-employed,474023,Sales Associate,High School,Renter,384,1363332,340318,First Bank,3,2,No history,Bonds,Groceries,11240,4721,Clicked,Opened,40,20,4,Stocks,High,Gadgets,Retirement,1,WhatsApp,Medium,Insurance
41,Alfons Bourrel,46,Male,abourrel14@studiopress.com,Divorced,1,Unemployed,328535,Human Resources Specialist,Master,Owner,508,1966254,389328,Community Bank,5,7,Good,None,Dining,7616,3576,Clicked,Opened,6,18,2,Mutual Funds,Low,Travel,Education,96,SMS,Medium,Insurance
42,Amery Vaar,43,Male,avaar15@cmu.edu,Single,5,Retired,125773,Marketing Manager,Bachelor,Owner,795,599921,310073,Peoples Bank,5,6,Bad,Bonds,Travel,12472,3033,Ignored,Opened,37,15,6,Stocks,Medium,Travel,Education,84,SMS,Medium,Credit Card
43,Alberto Meaton,46,Male,ameaton16@freewebs.com,Married,4,Retired,67944,Graphic Designer,PhD,Renter,800,1294543,399271,Peoples Bank,5,5,Bad,Stocks,Luxury,11878,3303,Ignored,Opened,20,8,10,Crypto,Medium,Travel,Property,71,WhatsApp,Medium,Loan
44,Hercule Penhale,26,Male,hpenhale17@delicious.com,Single,2,Self-employed,139562,Software Engineer,Master,Owner,358,834148,46834,National Bank,5,6,Bad,Crypto,Dining,3889,2234,Ignored,Ignored,23,8,10,Crypto,Medium,Travel,Retirement,43,WhatsApp,High,Insurance
45,Bendite Tearle,34,Female,btearle18@ycombinator.com,Widowed,2,Unemployed,185379,Sales Associate,High School,Owner,660,357409,423102,WF,4,8,Good,None,Travel,12802,1741,Clicked,Opened,5,7,3,Stocks,Low,Wedding,Education,75,WhatsApp,Low,Insurance
46,Anne Beckham,39,Female,abeckham19@gnu.org,Married,1,Retired,484187,Sales Associate,Bachelor,Renter,697,517187,127145,First Bank,5,7,Good,Crypto,Travel,1762,4885,Clicked,Clicked,0,14,0,Stocks,Low,Wedding,Retirement,26,WhatsApp,High,Credit Card
47,Bobina Brazer,50,Female,bbrazer1a@ow.ly,Married,1,Retired,302459,Marketing Manager,PhD,Renter,599,305718,237160,Community Bank,4,6,Bad,Stocks,Dining,1759,1362,Ignored,Opened,34,19,9,Real Estate,High,Gadgets,Property,64,WhatsApp,High,Credit Card
48,Brewster Beevens,44,Male,bbeevens1b@aol.com,Single,2,Self-employed,462401,Human Resources Specialist,High School,Owner,729,930376,395592,First Bank,5,4,No history,Bonds,Travel,8688,4220,Opened,Opened,30,8,9,Stocks,High,Gadgets,Property,99,SMS,Low,Loan
49,Kizzee Rzehorz,30,Female,krzehorz1c@uol.com.br,Divorced,1,Unemployed,72805,Sales Associate,Master,Owner,552,1101177,362338,BNY,1,4,No history,Real Estate,Travel,5943,4671,Ignored,Clicked,23,1,5,Crypto,High,Wedding,Property,49,SMS,High,Credit Card
50,Tito Ibbison,27,Male,tibbison1d@wikia.com,Single,4,Student,453654,Human Resources Specialist,PhD,Renter,587,1181338,85925,WF,2,2,Bad,Bonds,Groceries,8112,2454,Ignored,Opened,10,12,5,Stocks,Medium,Travel,Education,93,WhatsApp,High,Insurance
51,Garv Clorley,36,Male,gclorley1e@google.com.hk,Divorced,1,Student,274146,Software Engineer,Bachelor,Renter,587,582714,122182,First Bank,3,0,No history,Crypto,Travel,11595,2831,Opened,Opened,5,9,1,Real Estate,Low,Gadgets,Retirement,34,WhatsApp,High,Credit Card
52,Elisa O'Corrane,43,Female,eocorrane1f@t-online.de,Single,1,Unemployed,338605,Graphic Designer,PhD,Renter,639,712306,301259,First Bank,4,1,No history,Real Estate,Travel,15366,1042,Opened,Opened,8,20,5,Stocks,Low,Travel,Property,0,SMS,High,Insurance
53,Fielding McErlaine,30,Male,fmcerlaine1g@cnbc.com,Widowed,4,Self-employed,489924,Software Engineer,PhD,Owner,463,980444,213792,BNY,5,10,No history,None,Travel,9212,4314,Ignored,Opened,13,5,9,Stocks,Low,Wedding,Retirement,5,Email,High,Credit Card
54,Fayre Prestwich,21,Female,fprestwich1h@godaddy.com,Married,2,Student,245474,Graphic Designer,Master,Renter,745,1865531,478469,City Bank,2,8,No history,Crypto,Dining,6652,3453,Ignored,Clicked,17,1,9,Real Estate,High,Travel,Education,92,SMS,Medium,Credit Card
55,Minnaminnie Bumphrey,48,Female,mbumphrey1i@eepurl.com,Divorced,3,Unemployed,436399,Software Engineer,PhD,Renter,602,453912,422955,National Bank,1,9,Bad,Bonds,Dining,2415,1513,Opened,Opened,50,17,4,Real Estate,Low,Travel,Education,52,SMS,High,Insurance
56,Maritsa Kernell,35,Female,mkernell1j@state.gov,Divorced,0,Unemployed,353160,Software Engineer,Master,Renter,657,1079584,344785,First Bank,3,2,Good,Real Estate,Luxury,17640,4596,Clicked,Opened,14,11,5,Mutual Funds,Medium,Gadgets,Property,57,WhatsApp,High,Credit Card
57,Izaak Jahns,49,Male,ijahns1k@gov.uk,Divorced,5,Employed,362371,Human Resources Specialist,Bachelor,Renter,844,36520,273905,WF,3,9,Bad,Stocks,Travel,18861,1154,Clicked,Ignored,42,5,10,Stocks,Medium,Travel,Property,26,SMS,Low,Insurance
58,Linnet Tollett,19,Female,ltollett1l@gmpg.org,Widowed,1,Unemployed,38178,Marketing Manager,High School,Owner,642,1306527,10600,National Bank,1,2,No history,Stocks,Travel,13999,1741,Opened,Opened,22,13,4,Stocks,Low,Travel,Property,60,WhatsApp,Low,Credit Card
59,Thornie Fisher,26,Male,tfisher1m@kickstarter.com,Married,0,Student,325406,Sales Associate,PhD,Owner,704,466021,357658,First Bank,4,7,No history,Crypto,Dining,2985,4386,Ignored,Ignored,35,7,7,Stocks,Low,Travel,Property,21,WhatsApp,High,Credit Card
60,Lian Schuchmacher,36,Female,lschuchmacher1n@wikimedia.org,Widowed,0,Unemployed,222421,Human Resources Specialist,Bachelor,Renter,304,1854840,116406,City Bank,5,9,Bad,Stocks,Groceries,4500,3517,Ignored,Ignored,16,18,4,Real Estate,Medium,Travel,Property,30,Email,High,Credit Card
61,Jennifer Marciskewski,39,Female,jmarciskewski1o@npr.org,Married,1,Unemployed,385792,Software Engineer,Bachelor,Owner,445,1009039,430606,WF,4,3,No history,Stocks,Travel,12492,4384,Opened,Opened,32,16,3,Real Estate,High,Gadgets,Property,26,WhatsApp,High,Loan
62,Kyle Chapelhow,55,Female,kchapelhow1p@yellowpages.com,Married,3,Unemployed,466375,Graphic Designer,Bachelor,Owner,805,1270513,391723,Peoples Bank,4,6,Bad,None,Groceries,18992,4102,Opened,Clicked,19,1,5,Mutual Funds,High,Gadgets,Property,71,WhatsApp,Low,Insurance
63,Erv Van Hault,37,Male,evan1q@samsung.com,Divorced,1,Employed,160722,Marketing Manager,Master,Owner,647,1989354,409411,Peoples Bank,4,4,Bad,Bonds,Groceries,15053,519,Opened,Ignored,50,2,7,Stocks,High,Wedding,Retirement,42,WhatsApp,Medium,Insurance
64,James Peggrem,18,Male,jpeggrem1r@icq.com,Widowed,4,Self-employed,292262,Software Engineer,High School,Owner,631,221966,445911,Community Bank,1,3,No history,Real Estate,Travel,5951,3831,Ignored,Ignored,16,17,8,Crypto,Low,Wedding,Education,1,SMS,High,Credit Card
65,Kata Kerss,24,Female,kkerss1s@liveinternet.ru,Married,5,Student,319782,Graphic Designer,Master,Owner,477,205326,258150,GS,4,8,No history,Real Estate,Groceries,5474,599,Ignored,Ignored,5,17,5,Crypto,High,Wedding,Property,93,WhatsApp,Low,Credit Card
66,Raviv Linner,45,Male,rlinner1t@aboutads.info,Single,5,Unemployed,120441,Graphic Designer,High School,Renter,499,1108350,72484,GS,5,4,Bad,Real Estate,Luxury,10547,978,Opened,Clicked,41,12,9,Crypto,Medium,Travel,Education,67,Email,Medium,Loan
67,Andi Keough,31,Female,akeough1u@t.co,Widowed,4,Self-employed,125267,Marketing Manager,Master,Renter,712,958985,225293,WF,5,0,Bad,Bonds,Travel,15550,197,Opened,Ignored,34,13,7,Crypto,High,Wedding,Property,98,Email,Low,Loan
68,Celestia Chamberlin,40,Female,cchamberlin1v@constantcontact.com,Single,2,Unemployed,293391,Graphic Designer,Master,Renter,386,1066613,203991,Community Bank,1,8,Good,Real Estate,Luxury,12593,924,Ignored,Ignored,16,1,2,Stocks,High,Wedding,Property,81,SMS,High,Insurance
69,Lemmy Farington,30,Male,lfarington1w@ft.com,Widowed,4,Self-employed,74349,Software Engineer,High School,Renter,471,1402908,183210,BNY,4,7,Bad,Real Estate,Luxury,9826,694,Opened,Opened,16,14,7,Stocks,Medium,Wedding,Education,41,SMS,Medium,Loan
70,Suzann Waldock,31,Female,swaldock1x@angelfire.com,Married,3,Student,70478,Sales Associate,High School,Owner,667,812129,445832,WF,1,5,No history,Bonds,Travel,11817,1973,Clicked,Clicked,35,8,6,Stocks,Low,Gadgets,Retirement,15,WhatsApp,High,Insurance
71,Parke Goldster,20,Male,pgoldster1y@cloudflare.com,Married,4,Self-employed,471312,Software Engineer,PhD,Owner,673,1530678,117834,WF,1,9,No history,Real Estate,Luxury,9710,4807,Clicked,Clicked,31,15,3,Real Estate,Low,Travel,Property,23,WhatsApp,Medium,Insurance
72,Jobye Abatelli,47,Female,jabatelli1z@msn.com,Divorced,5,Retired,74773,Sales Associate,High School,Owner,447,24851,337550,GS,5,0,No history,Stocks,Groceries,15407,4791,Opened,Opened,32,7,10,Stocks,Medium,Travel,Property,45,SMS,Low,Loan
73,Elmira Shurrocks,38,Female,eshurrocks20@lulu.com,Married,2,Unemployed,202841,Human Resources Specialist,High School,Owner,520,992764,211572,WF,2,2,Good,Crypto,Groceries,15495,4832,Ignored,Clicked,25,3,4,Real Estate,Medium,Wedding,Property,1,Email,Medium,Insurance
74,Aprilette Hayller,47,Female,ahayller21@google.com.au,Married,3,Retired,88486,Human Resources Specialist,Bachelor,Renter,418,410619,111750,First Bank,1,2,No history,Real Estate,Dining,18102,4483,Opened,Clicked,45,6,9,Mutual Funds,High,Gadgets,Property,87,SMS,Low,Loan
75,Hardy Aldiss,38,Male,haldiss22@unblog.fr,Married,3,Unemployed,304865,Graphic Designer,High School,Owner,511,212952,402484,GS,2,6,Good,Bonds,Travel,4400,2254,Opened,Ignored,13,16,3,Real Estate,High,Wedding,Retirement,19,WhatsApp,High,Credit Card
76,Clarabelle Cocher,33,Female,ccocher23@netscape.com,Married,1,Self-employed,452015,Human Resources Specialist,Bachelor,Renter,724,1608398,399123,Community Bank,2,7,Good,Crypto,Luxury,5220,1301,Ignored,Opened,14,5,4,Real Estate,Low,Gadgets,Education,18,SMS,Medium,Insurance
77,Gayler Loxdale,53,Male,gloxdale24@nih.gov,Single,3,Retired,320497,Human Resources Specialist,High School,Owner,734,637124,268458,WF,4,9,Bad,Bonds,Travel,6404,2708,Opened,Opened,11,9,4,Mutual Funds,Medium,Wedding,Education,6,Email,Medium,Loan
78,Casar Piele,19,Male,cpiele25@cpanel.net,Widowed,0,Employed,339044,Graphic Designer,Master,Owner,551,764077,287215,WF,4,3,Bad,None,Dining,2124,2460,Clicked,Opened,9,19,4,Mutual Funds,Medium,Travel,Retirement,44,WhatsApp,Medium,Insurance
79,Blancha Vynall,24,Female,bvynall26@wikimedia.org,Widowed,0,Employed,483870,Software Engineer,High School,Owner,496,1860898,448731,National Bank,2,6,No history,Stocks,Travel,16607,4483,Clicked,Ignored,46,6,3,Crypto,Medium,Travel,Property,94,WhatsApp,Medium,Credit Card
80,Valli Deporte,26,Female,vdeporte27@auda.org.au,Widowed,3,Retired,496902,Human Resources Specialist,High School,Owner,564,1975404,487762,WF,4,1,Good,Stocks,Luxury,1653,1619,Opened,Clicked,29,8,2,Crypto,Medium,Travel,Education,56,SMS,High,Insurance
81,Saloma Dongles,42,Female,sdongles28@usa.gov,Divorced,3,Employed,454529,Sales Associate,High School,Owner,807,116696,181070,First Bank,5,5,No history,Real Estate,Luxury,2101,4978,Ignored,Ignored,6,2,8,Mutual Funds,Medium,Wedding,Education,19,SMS,Medium,Loan
82,Darlene Isted,20,Female,disted29@spotify.com,Married,0,Self-employed,99536,Human Resources Specialist,PhD,Renter,642,603113,181801,WF,5,5,Bad,Real Estate,Dining,12770,4724,Ignored,Opened,24,8,3,Mutual Funds,Low,Wedding,Education,18,Email,Medium,Insurance
83,Jonathon Mahaddy,22,Male,jmahaddy2a@icio.us,Married,4,Retired,419871,Graphic Designer,PhD,Renter,300,1261138,133294,GS,4,8,Good,Real Estate,Luxury,16504,1958,Opened,Opened,15,7,8,Mutual Funds,High,Travel,Education,64,WhatsApp,Low,Credit Card
84,Shanna Barreau,22,Female,sbarreau2b@tamu.edu,Married,1,Student,450011,Human Resources Specialist,Bachelor,Owner,433,799460,386263,GS,3,4,Bad,None,Travel,19915,2325,Ignored,Ignored,27,18,9,Crypto,Low,Gadgets,Education,24,SMS,Low,Loan
85,Gregoire Farlowe,18,Male,gfarlowe2c@nyu.edu,Married,2,Unemployed,418330,Graphic Designer,PhD,Owner,444,644969,435828,GS,3,3,Bad,None,Travel,8285,505,Clicked,Opened,21,20,9,Crypto,Low,Travel,Property,32,WhatsApp,Low,Insurance
86,Daryle Scholey,38,Male,dscholey2d@twitpic.com,Married,0,Unemployed,216774,Graphic Designer,PhD,Renter,803,727697,350866,BNY,3,4,Bad,Stocks,Dining,6192,4752,Clicked,Clicked,37,18,10,Mutual Funds,High,Gadgets,Property,74,SMS,Low,Credit Card
87,Darrin Chamley,45,Male,dchamley2e@sourceforge.net,Divorced,5,Self-employed,261732,Sales Associate,High School,Renter,344,16148,212975,GS,3,5,Bad,Crypto,Groceries,16346,4908,Opened,Clicked,38,16,6,Stocks,High,Wedding,Property,25,Email,Low,Loan
88,Keith Driffe,53,Male,kdriffe2f@mapquest.com,Married,3,Unemployed,245291,Sales Associate,Master,Owner,787,1211596,311135,City Bank,4,4,No history,Stocks,Luxury,6249,4688,Opened,Opened,10,16,0,Stocks,High,Travel,Property,50,WhatsApp,Medium,Credit Card
89,Orv Astlatt,39,Male,oastlatt2g@dagondesign.com,Single,3,Self-employed,101749,Software Engineer,High School,Renter,614,1352078,364393,Community Bank,3,5,Good,Real Estate,Luxury,6194,2529,Opened,Ignored,18,9,6,Real Estate,Low,Wedding,Retirement,82,WhatsApp,High,Credit Card
90,Mirella Aronowitz,19,Female,maronowitz2h@hhs.gov,Married,1,Student,94992,Graphic Designer,Master,Renter,632,199945,132391,BNY,1,10,Good,None,Luxury,15730,3369,Opened,Ignored,42,4,7,Crypto,Medium,Gadgets,Education,57,SMS,Low,Loan
91,Christie Dielhenn,46,Male,cdielhenn2i@gnu.org,Married,3,Student,433267,Graphic Designer,High School,Owner,527,689996,123978,BNY,4,9,Good,Stocks,Travel,12688,1697,Ignored,Clicked,37,10,3,Mutual Funds,Low,Wedding,Education,11,Email,High,Insurance
92,Leodora Wrates,18,Female,lwrates2j@newyorker.com,Widowed,0,Student,438664,Graphic Designer,PhD,Renter,664,857295,364207,GS,4,10,Good,Bonds,Groceries,9021,4508,Opened,Clicked,42,18,3,Stocks,Low,Wedding,Retirement,13,WhatsApp,Low,Credit Card
93,Saw Moorerud,50,Male,smoorerud2k@ezinearticles.com,Married,4,Employed,313889,Human Resources Specialist,Bachelor,Owner,410,1553869,210644,BNY,1,3,Bad,Real Estate,Dining,18145,622,Clicked,Clicked,1,14,8,Crypto,Low,Gadgets,Retirement,49,WhatsApp,High,Insurance
94,Donal Longbottom,19,Male,dlongbottom2l@macromedia.com,Divorced,3,Employed,399066,Software Engineer,Master,Renter,326,1661785,147255,WF,5,7,Good,Stocks,Groceries,18860,4864,Opened,Ignored,18,15,8,Crypto,High,Travel,Education,72,SMS,High,Credit Card
